简体	越南
永久提高骑兵1100点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1100 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1150点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1150 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1200点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1200 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1250点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1250 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1300点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1300 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1350点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1350 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1400点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1400 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1450点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1450 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1500点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1500 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1550点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1550 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1600点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1600 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1650点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1650 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1700点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1700 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1750点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1750 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1800点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1800 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1850点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1850 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1900点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1900 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵1950点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 1950 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2000点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2000 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2050点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2050 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2100点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2100 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2150点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2150 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2200点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2200 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2250点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2250 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2300点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2300 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2350点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2350 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2400点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2400 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2450点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2450 điểm Né Tránh, né tránh có thể né được công kích của địch
永久提高骑兵2500点闪避，闪避可躲避敌人攻击	Tăng Kỵ Binh 2500 điểm Né Tránh, né tránh có thể né được công kích của địch
下一级：永久提高骑兵100点闪避	Cấp sau: Tăng Kỵ Binh 100 điểm Né Tránh
下一级：永久提高骑兵150点闪避	Cấp sau: Tăng Kỵ Binh 150 điểm Né Tránh
下一级：永久提高骑兵200点闪避	Cấp sau: Tăng Kỵ Binh 200 điểm Né Tránh
下一级：永久提高骑兵250点闪避	Cấp sau: Tăng Kỵ Binh 250 điểm Né Tránh
下一级：永久提高骑兵300点闪避	Cấp sau: Tăng Kỵ Binh 300 điểm Né Tránh
下一级：永久提高骑兵350点闪避	Cấp sau: Tăng Kỵ Binh 350 điểm Né Tránh
下一级：永久提高骑兵400点闪避	Cấp sau: Tăng Kỵ Binh 400 điểm Né Tránh
下一级：永久提高骑兵450点闪避	Cấp sau: Tăng Kỵ Binh 450 điểm Né Tránh
下一级：永久提高骑兵500点闪避	Cấp sau: Tăng Kỵ Binh 500 điểm Né Tránh
下一级：永久提高骑兵550点闪避	Cấp sau: Tăng Kỵ Binh 550 điểm Né Tránh
下一级：永久提高骑兵600点闪避	Cấp sau: Tăng Kỵ Binh 600 điểm Né Tránh
下一级：永久提高骑兵650点闪避	Cấp sau: Tăng Kỵ Binh 650 điểm Né Tránh
下一级：永久提高骑兵700点闪避	Cấp sau: Tăng Kỵ Binh 700 điểm Né Tránh
下一级：永久提高骑兵750点闪避	Cấp sau: Tăng Kỵ Binh 750 điểm Né Tránh
下一级：永久提高骑兵800点闪避	Cấp sau: Tăng Kỵ Binh 800 điểm Né Tránh
下一级：永久提高骑兵850点闪避	Cấp sau: Tăng Kỵ Binh 850 điểm Né Tránh
下一级：永久提高骑兵900点闪避	Cấp sau: Tăng Kỵ Binh 900 điểm Né Tránh
下一级：永久提高骑兵950点闪避	Cấp sau: Tăng Kỵ Binh 950 điểm Né Tránh
下一级：永久提高骑兵1000点闪避	Cấp sau: Tăng Kỵ Binh 1000 điểm Né Tránh
下一级：永久提高骑兵1050点闪避	Cấp sau: Tăng Kỵ Binh 1050 điểm Né Tránh
下一级：永久提高骑兵1100点闪避	Cấp sau: Tăng Kỵ Binh 1100 điểm Né Tránh
下一级：永久提高骑兵1150点闪避	Cấp sau: Tăng Kỵ Binh 1150 điểm Né Tránh
下一级：永久提高骑兵1200点闪避	Cấp sau: Tăng Kỵ Binh 1200 điểm Né Tránh
下一级：永久提高骑兵1250点闪避	Cấp sau: Tăng Kỵ Binh 1250 điểm Né Tránh
下一级：永久提高骑兵1300点闪避	Cấp sau: Tăng Kỵ Binh 1300 điểm Né Tránh
下一级：永久提高骑兵1350点闪避	Cấp sau: Tăng Kỵ Binh 1350 điểm Né Tránh
下一级：永久提高骑兵1400点闪避	Cấp sau: Tăng Kỵ Binh 1400 điểm Né Tránh
下一级：永久提高骑兵1450点闪避	Cấp sau: Tăng Kỵ Binh 1450 điểm Né Tránh
下一级：永久提高骑兵1500点闪避	Cấp sau: Tăng Kỵ Binh 1500 điểm Né Tránh
下一级：永久提高骑兵1550点闪避	Cấp sau: Tăng Kỵ Binh 1550 điểm Né Tránh
下一级：永久提高骑兵1600点闪避	Cấp sau: Tăng Kỵ Binh 1600 điểm Né Tránh
下一级：永久提高骑兵1650点闪避	Cấp sau: Tăng Kỵ Binh 1650 điểm Né Tránh
下一级：永久提高骑兵1700点闪避	Cấp sau: Tăng Kỵ Binh 1700 điểm Né Tránh
下一级：永久提高骑兵1750点闪避	Cấp sau: Tăng Kỵ Binh 1750 điểm Né Tránh
下一级：永久提高骑兵1800点闪避	Cấp sau: Tăng Kỵ Binh 1800 điểm Né Tránh
下一级：永久提高骑兵1850点闪避	Cấp sau: Tăng Kỵ Binh 1850 điểm Né Tránh
下一级：永久提高骑兵1900点闪避	Cấp sau: Tăng Kỵ Binh 1900 điểm Né Tránh
下一级：永久提高骑兵1950点闪避	Cấp sau: Tăng Kỵ Binh 1950 điểm Né Tránh
下一级：永久提高骑兵2000点闪避	Cấp sau: Tăng Kỵ Binh 2000 điểm Né Tránh
下一级：永久提高骑兵2050点闪避	Cấp sau: Tăng Kỵ Binh 2050 điểm Né Tránh
下一级：永久提高骑兵2100点闪避	Cấp sau: Tăng Kỵ Binh 2100 điểm Né Tránh
下一级：永久提高骑兵2150点闪避	Cấp sau: Tăng Kỵ Binh 2150 điểm Né Tránh
下一级：永久提高骑兵2200点闪避	Cấp sau: Tăng Kỵ Binh 2200 điểm Né Tránh
下一级：永久提高骑兵2250点闪避	Cấp sau: Tăng Kỵ Binh 2250 điểm Né Tránh
下一级：永久提高骑兵2300点闪避	Cấp sau: Tăng Kỵ Binh 2300 điểm Né Tránh
下一级：永久提高骑兵2350点闪避	Cấp sau: Tăng Kỵ Binh 2350 điểm Né Tránh
下一级：永久提高骑兵2400点闪避	Cấp sau: Tăng Kỵ Binh 2400 điểm Né Tránh
下一级：永久提高骑兵2450点闪避	Cấp sau: Tăng Kỵ Binh 2450 điểm Né Tránh
下一级：永久提高骑兵2500点闪避	Cấp sau: Tăng Kỵ Binh 2500 điểm Né Tránh
对单体造成140%的伤害，且优先攻击最后排	Gây 140% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成144%的伤害，且优先攻击最后排	Gây 144% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成148%的伤害，且优先攻击最后排	Gây 148% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成152%的伤害，且优先攻击最后排	Gây 152% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成156%的伤害，且优先攻击最后排	Gây 156% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成160%的伤害，且优先攻击最后排	Gây 160% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成164%的伤害，且优先攻击最后排	Gây 164% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成168%的伤害，且优先攻击最后排	Gây 168% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成172%的伤害，且优先攻击最后排	Gây 172% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成176%的伤害，且优先攻击最后排	Gây 176% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成180%的伤害，且优先攻击最后排	Gây 180% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成184%的伤害，且优先攻击最后排	Gây 184% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成188%的伤害，且优先攻击最后排	Gây 188% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成192%的伤害，且优先攻击最后排	Gây 192% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成196%的伤害，且优先攻击最后排	Gây 196% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成200%的伤害，且优先攻击最后排	Gây 200% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成204%的伤害，且优先攻击最后排	Gây 204% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成208%的伤害，且优先攻击最后排	Gây 208% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成212%的伤害，且优先攻击最后排	Gây 212% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成216%的伤害，且优先攻击最后排	Gây 216% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成220%的伤害，且优先攻击最后排	Gây 220% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成224%的伤害，且优先攻击最后排	Gây 224% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成228%的伤害，且优先攻击最后排	Gây 228% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成232%的伤害，且优先攻击最后排	Gây 232% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成236%的伤害，且优先攻击最后排	Gây 236% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成240%的伤害，且优先攻击最后排	Gây 240% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成244%的伤害，且优先攻击最后排	Gây 244% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成248%的伤害，且优先攻击最后排	Gây 248% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成252%的伤害，且优先攻击最后排	Gây 252% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成256%的伤害，且优先攻击最后排	Gây 256% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成260%的伤害，且优先攻击最后排	Gây 260% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成264%的伤害，且优先攻击最后排	Gây 264% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成268%的伤害，且优先攻击最后排	Gây 268% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成272%的伤害，且优先攻击最后排	Gây 272% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成276%的伤害，且优先攻击最后排	Gây 276% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成280%的伤害，且优先攻击最后排	Gây 280% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成284%的伤害，且优先攻击最后排	Gây 284% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
对单体造成288%的伤害，且优先攻击最后排	Gây 288% sát thương lên 1 kẻ địch, và ưu tiên công kích hàng cuối cùng
