关键字	简体	越南
E_STR_RECHARGEANDPAY_PAYINFO	本周消费元宝数:	Số NB tốn tuần này:
E_STR_RECHARGEANDPAY_RECHARGEINFO	本周充值元宝数:	Số NB nạp tuần này:
E_STR_RECHARGEANDPAY_CANGOT	领取	Nhận
E_STR_HORSE_HELP1	坐骑系统在君主达到45级时开放，该系统可以为武将提供大量加成属性	Quân Chủ đạt cấp 45 mở thú cưỡi, hệ thống này có thể giúp Võ Tướng tăng nhiều thuộc tính
E_STR_HORSE_HELP2	坐骑开启后，武将自动获得马鞭、马鞍两件坐骑装备，同时也可在马场获取坐骑，马匹、马鞭、马鞍均能为武将带来属性加成，等级越高，加成属性越多	Sau khi mở thú cưỡi, Võ Tướng tự động nhận 2 trang bị thú cưỡi Roi Ngựa, Yên Ngựa, đồng thời cũng có thể nhận được thú cưỡi, Roi Ngựa, Yên Ngựa ở Trường Ngựa mang lại thuộc tính cho Võ Tướng, cấp càng cao, thuộc tính càng nhiều
E_STR_HORSE_HELP3	武将装备特定坐骑，能获得额外的缘分属性加成，马鞭马鞍升级到特定等级时，也能为武将提供额外的属性加成效果	Trang bị Võ Tướng xác định thú cưỡi, có thể nhận thêm thuộc tính duyên phận, khi Roi Ngựa Yên Ngựa tăng đến cấp nhất định, có thể giúp Võ Tướng tăng thêm hiệu ứng thuộc tính
E_STR_HORSE_HELP4	马匹升级，需要消耗一定数量的同样1级马匹，马鞭马鞍升级需要消耗一定数量的指定道具	Tăng cấp ngựa, cần tốn Ngựa cấp 1 số lượng nhất định, tăng cấp Roi Ngựa và Yên Ngựa cần tốn đạo cụ số lượng nhất định
E_STR_HORSE_HELP5	玩家在马场可以通过消耗套马道具进行套马以获取马匹。套马道具有2种，普通道具套马时，套马次数越多，消耗的道具数量也逐渐增加，直至到达每日消耗上限为止，使用高级套马道具套马时，每次固定消耗1个	Người chơi ở Trường Ngựa tốn đạo cụ chọn ngựa. Đạo cụ chọn ngựa có 2 loại, dùng đạo cụ thường chọn ngựa, chọn càng nhiều đạo cụ tốn dần tăng, đến giới hạn tốn mỗi ngày sẽ dừng, khi dùng đạo cụ chọn ngựa cấp cao mỗi lần chỉ tốn 1 cái
E_STR_HORSE_HELP6	每天使用普通道具套马时的道具消耗数量，在晚上24:00时进行重置	Mỗi ngày tốn số lượng đạo cụ khi dùng đạo cụ thường chọn ngựa sẽ thiết lập lại lúc 24:00
E_STR_HORSE_HELP7	普通套马道具可以使用金币或马券兑换得到，高级套马道具可以使用元宝和马券兑换得到	Đạo cụ chọn ngựa thường dùng Vàng hoặc Phiếu Ngựa đổi nhận được, đạo cụ chọn ngựa cao cấp dùng KNB và Phiếu Ngựa đổi nhận được
E_STR_HORSE_HELP8	玩家得到马匹后，可以自行装备马匹，也可以将马匹出售获得马券	Sau khi người chơi nhận được ngựa, tự trang bị ngựa, có thể bán ngựa nhận được Phiếu Ngựa
E_STR_HORSE_HELP9	马券可以用于在马场兑换指定马匹，或者用于购买马鞭、马鞍升级道具，也可用于购买套马道具以进行套马	Phiếu Ngựa có thể dùng ở Trường Ngựa đổi ngựa nhất định, hoặc để mua đạo cụ tăng cấp Roi Ngựa, Yên Ngựa, cũng có thể dùng mua đạo cụ chọn ngựa để chọn ngựa
E_STR_LOGIN_NO_INPUT	您没有输入登录名或密码	Bạn chưa nhập tên đăng nhập hoặc mật khẩu
E_STR_LOGIN_DESC1	请输入验证码卡	Vui lòng nhập mã thẻ
E_STR_LOGIN_DESC2	请输入序列号	Vui lòng nhập số serial
E_STR_LOGIN_DESC3	请输入PIN码	Vui lòng nhập mã pin
E_STR_LOGIN_DESC4	您没有输入足够的信息。	Bạn chưa nhập đủ thông tin.
E_STR_NOT_BUY	该等级宝石尚未开放购买	Bảo Thạch LV này chưa cho phép mua
E_STR_TEN_SHOT	武将十连抽有几率抽出超级彩将，请问主公是否需要召唤猛将？	Rút thẻ tướng 10 lần có khả năng nhận được Thần Tướng, Chúa Công có muốn chiêu mộ mãnh tướng ?
E_STR_TOWER_CHALLENGE		Tầng <font color='#00FF00'>%d</font> đạt được
E_STR_CANNOT_GET	无法领取	Không nhận được
E_STR_HORSE_NOHORSE	没有对应的马匹	Không có ngựa tương ứng
E_STR_RECHANGEREB_DESC	充值金额：	Số tiền nạp:
E_STR_LUCK_GO_HELP_1	活动期间玩家每储值1元宝将获得1积分。活动期间每天免费赠送500积分。	Trong thời gian sự kiện người chơi tích lũy 1 KNB sẽ được 1 điểm. Trong thời gian sự kiện mỗi ngày được tặng 500 điểm.
E_STR_LUCK_GO_HELP_2	每次消耗积分转动获得奖励。有机会转到多倍，获得多倍奖励。每转到一次多倍，下次转动消耗积分增加，直到转到物品后重置。	Mỗi lần dùng điểm xoay để nhận quà. Có thể xoay được nhiều lần, nhận được nhiều phần thưởng gấp đôi. Mỗi khi xoay được nhiều lần, lần xoay sau sẽ tiêu hao nhiều điểm hơn, cho đến khi quay được vật phẩm sẽ làm mới lại.
E_STR_LUCK_GO_HELP_3	消耗积分点击刷新按钮，可刷新奖励内容，刷新消耗积分将递增。活动期间请及时使用积分，活动结束后积分将会清零。	Dùng điểm để nhấn nút làm mới, có thể làm mới phần thưởng, điểm tiêu hao sẽ tăng dần. Trong thời gian sự kiện nhớ dùng điểm kịp thời, kết thúc sự kiện điểm sẽ được xóa hết.
E_STR_LUCK_GO_HELP_4	转动次数超过30次可进入排行榜，活动结束后可领取排行榜奖励。请及时领取奖励，以免玩家造成损失。	Số lần xoay vượt quá 30 sẽ được vào bảng xếp hạng, khi kết thúc sự kiện có thể nhận thưởng xếp hạng. Xin nhận thưởng kịp lúc, để tránh bị tổn thất.
E_STR_OB		CB là không mở trong việc nạp tiền
